Crashes,logf,x6,x28,x31,x32,x38,offset
45,10.26554155,28,1,44.3,0,1,2.218115936
0,10.26554155,24,1,80.1,0,1,-0.703197516
10,10.26554155,25,1,46.3,0,1,1.758719615
24,10.26554155,26,1,43,0,1,1.744842549
42,10.26554155,26,1,41.05,0,1,2.411887828
7,10.26554155,28.1,1,41.4,0,1,1.435084525
11,10.31876846,28.1,1,65.8,0,1,1.080108817
67,10.31876846,26.8,1,46.2,0,1,2.848391686
24,10.31876846,25,1,53.5,0,1,1.202972304
35,10.31876846,32.7,1,76.9,0,1,2.109000344
6,10.53894561,28,1,110.7,0,1,1.111857515
14,10.53894561,28,1,45.4,0,1,1.472472057
11,10.53894561,29.7,1,44.1,0,1,0.741937345
76,10.53894561,29.7,1,43.16666667,0,1,2.797890905
62,10.53894561,29,1,46.3,0,1,2.77726527
15,10.53894561,32,1,59,0,1,0.58221562
8,10.53894561,24.6,1,68.8,0,1,0.579418415
1,10.53894561,24.6,1,98.6,0,1,0.165514438
9,10.53894561,24.4,1,114.6,0,1,1.141033005
6,10.53894561,24.4,1,62.2,0,1,-0.127833372
45,10.29171304,24.4,1,66.8,0,1,2.52932218
49,10.204641,21,1,63.4,0,1,2.024853351
15,10.204641,24.4,1,97.9,0,1,0.916290732
9,10.204641,30,1,72.4,0,1,0.685618914
47,10.204641,30,1,54.9,0,1,2.344206768
11,10.204641,27,1,93.6,0,1,0.604315967
32,10.204641,29,1,125.5,0,1,2.012232792
24,10.204641,31.1,1,42.1,0,1,2.036011984
60,10.63728073,27.8,1,45.95,0,1,2.261242129
103,10.63728073,32,1,46.73333333,0,1,1.798404012
22,10.63728073,25,1,44.6,0,1,0.318453731
9,10.04451799,20.1,1,39.8,0,1,1.204472679
4,10.04451799,19.7,1,37.3,0,1,0.524728529
19,10.04451799,30,1,50.2,0,1,1.208960346
41,10.04451799,31,1,43.95,0,1,1.497388409
32,10.27936744,31,1,45.6,0,1,1.91102289
6,9.994583593,46,0,45.9,0,1,1.923518459
0,9.994583593,46,0,42.4,0,1,0.178146185
1,9.690441475,34.4,0,46.2,0,1,0.609765572
4,9.690441475,39.1,0,50.4,0,1,0.497740384
4,9.690441475,39.1,0,44.1,0,1,0.662687973
94,9.75866962,39.1,0,45.66,0,1,3.600321427
9,9.896419835,39.1,0,62.4,0,1,0.556754556
30,9.855669465,42,0,46.975,0,1,2.554899022
33,9.754149838,39,0,34.75,0,1,1.883274578
22,9.905788994,36,0,36.2,0,1,2.241772954
0,10.14669683,40,1,36.8,0,0,-0.510825624
8,10.14669683,33.7,1,40.7,0,0,1.478189626
0,10.14669683,33.7,1,38.1,0,0,0.521765564
6,10.14669683,40,1,42.2,0,0,1.2753628
2,9.704821591,35.2,0,34.6,0,1,0.660107326
0,9.704821591,35.2,0,16,1,0,0.43502391
32,11.18731806,24.8,1,82.1,0,1,0.332894415
0,11.18731806,27,0,26,1,0,1.302912752
0,11.18731806,37,0,27,1,0,0.91027266
0,11.18731806,30.5,0,33.4,1,0,0.21511138
0,11.18731806,30,0,33.8,1,0,1.029619417
0,11.13519261,34,0,27,1,0,1.374980601
0,11.13519261,30.7,0,31,1,0,1.46441214
48,10.4975422,30.7,1,40.8,0,0,1.486139696
45,10.4975422,34.6,1,39.7,0,0,1.073294481
48,10.4975422,34.6,1,40.2,0,0,1.349371007
121,10.4975422,29.6,1,41.8,0,0,1.655366844
39,10.46643932,22.4,1,45.7,0,0,0.968883182
329,10.36618792,37,1,40.96,0,1,3.765956229
4,10.35076866,22.4,1,47.3,0,1,-0.015113638
108,10.35076866,33.7,1,51.45,0,1,2.580595546
12,10.35076866,33.7,1,52.5,0,1,0.75612198
31,10.35076866,22,1,41.3,0,1,1.336315991
2,10.35076866,21.3,0,44.4,0,1,-0.510825624
79,10.35076866,25.8,1,57.6,0,1,1.929345132
79,10.35076866,22.2,1,63.9,0,1,2.32630162
204,10.19703365,22.2,1,43.7,0,1,3.425889994
97,10.19703365,15.9,0,64.3,0,1,2.636196097
99,10.19703365,15.9,0,42.55,0,1,2.80184408
90,10.19703365,26,1,43.5,0,1,2.668616132
0,9.258683198,43,0,52.3,0,0,0.157003749
6,9.258683198,39.1,0,44.85,0,0,1.707471653
1,9.258683198,39.1,0,57.2,0,0,0.254642218
21,9.258683198,39.1,1,109,0,0,1.792592456
4,9.258683198,39.1,0,49.8,0,0,1.193922468
6,9.258683198,39.1,0,60.5,0,0,1.655366844
6,9.258683198,39.1,0,48,0,0,1.378766095
39,9.152909545,39.1,0,46.56,0,0,2.933590877
3,9.152909545,40.1,0,91.1,0,0,0.951657876
0,9.152909545,40.1,0,89.1,0,0,-0.606969484
2,9.152909545,39,0,86.6,0,0,-0.25489225
0,9.152909545,43,0,83.4,0,0,0.048790164
17,9.152909545,39,1,45,0,0,1.754403683
3,9.4508692,43,0,57.7,0,0,0.959350221
0,9.4508692,43,0,45.1,0,0,0.463734016
6,9.4508692,39,1,64.8,0,0,0.139761942
15,9.4508692,39,1,45.85,0,0,2.118061113
11,9.4508692,39,1,46.3,0,1,0.463734016
3,9.4508692,43,1,58.8,0,1,0.131028262
0,9.4508692,43,1,63.6,1,1,-0.287682072
0,9.4508692,39.9,1,60.6,0,1,-0.005012542
0,9.4508692,39.1,1,58.3,0,1,-0.703197516
0,9.4508692,39.1,1,59.8,1,1,-0.693147181
1,9.4508692,36,1,61.4,0,1,-1.064210862
0,9.4508692,35,1,54.8,1,1,-0.356674944
62,9.456795106,35,1,41.85,0,1,2.962433988
13,9.472864777,35,1,52.3,0,1,2.132982309
51,9.637134742,35,1,48.16666667,0,1,2.809402695
8,9.710752806,35,1,59.3,0,1,0.288931292
2,9.710752806,35,1,99.7,0,1,0.824175443
0,9.710752806,35,1,100.7,1,1,0.98394938
0,9.710752806,37,1,134.9,1,1,0.250758718
19,9.710752806,37,1,96,0,1,2.563794845
1,9.710752806,37,1,84.1,0,1,0.491642804
61,9.611257157,37,1,47.45,0,1,3.266141017
9,9.441624142,33,1,49.9,0,1,1.886311786
4,9.441624142,26,1,74.9,0,1,1.289232648
14,9.441624142,26,1,54.7,0,1,2.211565695
14,9.441624142,26,1,115.7,0,1,1.720979287
5,9.441624142,26,1,90.1,0,1,0.548121409
0,9.441624142,26,1,52.1,0,1,0.250758718
9,9.441624142,26,1,100,0,1,1.46672161
12,9.441624142,26,1,113.3,0,1,1.52714267
4,9.441624142,26,1,71.9,0,1,0.086177696
0,9.441624142,26,0,77,0,1,0.354171814
0,9.441624142,26,0,81.6,0,1,-1.220779923
11,9.441624142,26,1,96.3,0,1,0.131028262
15,9.441624142,27,1,45.6,0,1,1.706564623
1,9.441624142,27,1,64.5,0,1,0.131028262
0,9.441624142,27,1,56.2,0,1,0.3074847
1,9.441624142,27,1,41,0,1,-0.015113638
10,9.441624142,31,1,110.4,0,1,2.101692151
7,9.441624142,31,1,51.2,0,1,0.864997437
4,9.363578922,31,1,50.1,0,1,1.205970807
9,9.363578922,30,1,73.3,0,1,0.631271777
4,9.363578922,27,1,125.8,0,1,0.491642804
1,9.363578922,25,1,85.6,0,1,0.395414772
6,9.363578922,25,1,74,0,1,0.604315967
5,9.352130099,25,1,52.1,0,1,1.571736045
7,9.320837373,25,1,59.4,0,1,0.698134722
16,9.320837373,25,1,54,0,1,0.824175443
4,9.320837373,21.9,1,73.1,0,1,0.732367894
13,9.320837373,30,1,84,0,1,0.657520003
0,9.320837373,30,0,48.2,0,0,-0.703197516
3,9.320837373,30,1,106.6,0,1,0.576613364
0,9.320837373,25,1,81.3,0,1,-0.713349888
5,9.320837373,25,1,53.4,0,1,0.633927821
2,9.320837373,25,1,47.2,0,1,-0.061875404
9,9.320837373,25,1,50.5,0,1,1.100277568
1,9.320837373,25.7,1,78.4,0,1,0.081579987
0,9.320837373,23.6,1,85.1,0,1,-0.110931561
0,9.320837373,23.6,1,82.4,0,1,-0.235722334
0,9.320837373,24,1,97.8,0,1,-0.809680997
3,9.320837373,24,1,83.1,0,1,-0.235722334
0,9.320837373,24,1,78.6,0,1,-1.203972804
0,9.320837373,24,1,91,0,1,-0.235722334
1,9.320837373,24,1,86.2,0,1,-0.301105093
2,9.320837373,33,1,57.6,0,1,-0.446287103
0,9.320837373,33,1,47.4,0,1,-1.386294361
0,9.320837373,29.5,1,39.9,0,1,-1.220779923
36,9.524287984,31.6,1,48.6,0,1,2.111424588
5,9.632039788,29.5,1,55.7,0,1,0.457424847
6,9.632039788,29.5,1,76.2,0,1,1.086877032
0,9.632039788,27.6,1,150,0,1,-0.606969484
1,9.632039788,27.6,1,123.3,0,1,-0.527632742
0,9.632039788,27.6,1,68.1,0,1,-0.994252273
6,9.632039788,27.6,1,48.9,0,1,0.428530381
0,9.632039788,27.6,1,114.4,0,1,-0.606969484
0,9.632039788,29.8,1,157.8,0,1,-1.406497068
1,9.632039788,29.8,1,157.8,0,1,0.126632651
6,9.632039788,29.8,1,57.6,0,1,-0.110931561
8,9.632039788,29.8,1,158.4,0,1,0.815364813
10,9.632039788,29.2,1,72.9,0,1,1.17093295
11,9.632039788,29.2,1,158.4,0,1,0.548121409
0,9.632039788,29.7,1,88,0,1,0.607044482
0,9.632039788,29.7,1,58.6,0,1,-0.15665381
0,9.632039788,32.8,1,32.5,1,1,0.169742775
1,9.632039788,27,1,37.8,0,1,-0.597837001
2,9.632039788,30.6,1,107.4,0,1,0.896088025
0,9.632039788,40,1,92,0,1,0.254642218
1,9.632039788,29,1,71.5,0,1,0.361164849
0,9.632039788,29,1,45.5,0,1,0.250758718
0,9.632039788,39.9,1,29.4,1,1,0.086177696
0,9.632039788,39.9,1,52.6,0,1,0.250758718
0,9.632039788,39.9,1,86.5,0,1,0.862889955
5,9.632039788,39,1,47,0,1,1.279543991
11,9.463064473,27.2,1,46,0,1,1.750069042
8,9.463064473,23,1,109.8,0,1,1.239822457
1,9.463064473,23,1,58.8,0,1,-0.616186139
0,9.463064473,24,0,49.6,0,1,-0.916290732
7,9.463064473,24,1,45.6,0,1,1.860196631
0,9.463064473,24,0,26.9,0,1,-0.820980552
0,9.463064473,23,1,31.4,1,1,1.393766376
7,9.463064473,23,1,116.2,0,1,1.598376965
13,9.463064473,23,1,57.8,0,1,1.992657412
5,9.463064473,23,1,125.8,0,1,1.298828335
15,9.691044793,24,1,40.96666667,0,1,1.843719208
1,9.691044793,24,1,104,0,1,1.113500901
3,9.691044793,24,1,45.1,0,1,0.965080896
4,9.691044793,24,1,35.4,0,1,-0.928869514
0,9.691044793,24,1,49.4,0,1,1.229640551
0,9.691044793,25.4,1,133.5,0,1,-0.371063681
0,9.691044793,25.4,1,138.5,0,1,-0.470003629
1,9.691044793,25.4,1,130.6,0,1,-0.363843433
7,9.691044793,25.4,1,129.3,0,1,1.257039525
5,9.691044793,25.4,1,63.4,0,1,0.281412459
0,9.691044793,36,1,35.7,0,1,-0.809680997
0,9.691044793,36,1,50.8,0,1,-1.609437912
0,9.691044793,36,1,86.6,0,1,0.131028262
1,9.691044793,36,1,72.9,0,1,-0.061875404
2,9.691044793,39,1,168.1,0,1,0.636576829
2,9.691044793,39,1,174.9,0,1,-1.049822124
0,9.691044793,34,0,150,0,0,0.086177696
6,9.691044793,34,0,194,0,0,1.071583616
4,9.691044793,34,1,37.3,0,0,-0.294371061
17,9.553542058,34,0,47.1,0,0,0.869199124
0,9.553542058,34,0,29,1,0,0.753771802
0,9.553542058,34,0,31.3,0,0,-2.302585093
0,9.553542058,34,0,37.6,0,0,-0.928869514
1,9.553542058,39,0,51.8,0,0,-0.363843433
0,9.553542058,41,0,69.8,0,0,-0.287682072
0,9.553542058,41,0,118.1,0,0,-1.064210862
7,9.553542058,39,0,56.6,0,0,-0.005012542
13,9.553542058,39,0,57.4,0,0,2.346123395
0,9.553542058,48.2,0,75.5,0,0,-1.064210862
8,9.553542058,39,1,72,0,0,0.182321557
0,9.553542058,39.1,0,100.05,0,0,0.044016885
0,9.553542058,39.1,0,100.202,0,0,0.254642218
0,9.553542058,39.1,0,100.06,0,0,-0.110931561
4,9.553542058,39.1,0,100.9,0,0,1.196948189
8,9.553542058,39,0,125.7,0,0,1.096944232
45,9.553542058,39,0,49,0,0,2.539236994
0,9.553542058,29,0,194.7,0,0,0.21511138
0,9.553542058,29,0,166,0,0,-1.049822124
3,9.553542058,25,0,135.9,0,0,0.438254931
14,9.553542058,23,0,97.2,0,0,1.827769907
52,9.553542058,23,0,46.7,0,0,2.497740608
57,10.07620051,23,1,44.7,0,1,2.124056334
18,10.07620051,25,1,56.9,0,1,1.353254507
0,10.07620051,25,1,45.2,0,1,-0.693147181
8,10.07620051,25,1,34.8,0,1,1.17093295
13,10.07620051,25,1,51.9,0,1,-0.363843433
1,10.07620051,37.3,1,82.5,0,1,-0.294371061
0,10.07620051,37.3,1,107.7,0,1,-0.393042588
8,10.07620051,37.3,1,118.1,0,1,-0.056570351
6,10.07620051,37.8,1,118.45,0,1,1.2753628
3,10.07620051,35,1,119.6,0,1,-1.255266099
3,10.07620051,35,1,98.8,0,1,-0.301105093
0,10.07620051,35,1,61.2,0,1,-1.049822124
2,10.07620051,35,1,55.1,0,1,0.431782416
14,10.07620051,39,0,26,1,0,0.332894415
3,10.07620051,36,1,71.3,0,1,0.601579987
3,10.07620051,36,1,86.9,0,1,-0.005012542
0,10.07620051,39,1,79.3,0,1,-1.220779923
0,10.07620051,30,1,70.2,0,1,-2.302585093
1,10.07620051,43,1,62.5,0,1,0.044016885
66,10.14704218,39,1,46.3,0,1,2.68954673
6,10.16825999,36.2,1,115.1,0,1,-0.110931561
0,10.16825999,43.9,1,144.8,0,1,-1.049822124
20,10.16825999,39,1,134.3,0,1,0.792992516
0,10.16825999,27,1,178.8,0,1,-0.005012542
27,10.16825999,27,1,137.9,0,1,-0.174353387
0,10.16825999,41.4,1,133.7,0,1,-0.430782916
0,10.16825999,41.4,1,100.086,1,1,-0.519193873
8,10.16825999,39,1,75,0,1,0.273836666
2,10.16825999,36.8,1,59.1,0,1,0.044016885
0,10.16825999,34,1,57.7,0,1,-0.798507696
47,10.16825999,24,1,40.6,0,1,1.448094762
41,10.16825999,24,1,51.6,0,1,0.524728529
15,10.85162898,24,1,43.5,0,1,0.343589704
0,10.85162898,24,1,40.2,1,1,-1.386294361
87,10.85162898,24,1,42.1,0,1,1.784231203
42,11.08932971,24,1,30.9,0,1,-0.110931561
0,11.08932971,25,1,29.2,1,1,-1.386294361
2,11.08932971,25,1,31.5,0,1,-0.127833372
0,11.08932971,25,1,31.8,1,0,-1.203972804
0,11.08932971,17.9,1,100.09,0,0,-1.63475572
0,11.08932971,17.9,1,100.11,1,0,-0.606969484
0,11.08932971,17.9,1,100.142,1,0,-1.5847453
0,11.08932971,22.5,1,100.102,1,0,-3.101092789
0,11.08932971,23.6,1,100.134,1,0,-1.386294361
0,11.08932971,23.6,1,100.102,1,0,-1.386294361
0,11.08932971,23.6,1,100.12,1,0,0.329303747
0,11.08932971,23.6,1,100.128,1,0,-1.386294361
0,11.08932971,19.9,1,100.126,1,0,-0.916290732
0,11.08932971,25.1,1,24.5,1,0,0.014888612
27,11.08932971,28.3,1,54.7,0,0,-0.229413164
0,11.08033811,22.4,1,117.8,1,0,1.202972304
0,11.07219931,22.4,1,100.096,1,0,-0.210721031
0,11.07219931,19.7,1,100.136,0,0,-0.229413164
6,11.07219931,19.7,1,40.6,0,0,0.135404637
11,11.07219931,22.9,0,40.9,1,0,0.296394013
0,11.25322393,19.2,1,27.6,1,0,1.166270937
0,9.776547191,26.6,0,39,0,1,-0.588787165
100,9.747146034,22.5,1,44.52,0,1,3.320710131
8,9.687419411,22.5,1,42.9,0,1,1.565486025
6,9.687419411,24.2,0,44.5,0,1,0.350656872
52,9.674632013,24.2,1,51.7,0,1,2.22678338
75,9.665386696,24.2,1,41.26666667,0,1,3.101667624
17,9.665386696,24.2,1,49.2,0,1,1.086877032
215,9.511132876,26.1,1,46.38333333,0,1,4.054390247
38,9.556996293,26.1,1,49.9,0,1,2.739871813
265,9.501072866,26.1,1,45.57272727,0,1,3.863042823
145,9.47810235,29,1,40.72857143,0,1,3.93094289
119,9.543418481,24.6,1,48.41666667,0,1,3.679334041
122,9.85131149,24.5,1,46.74,0,1,3.295281156
2,9.888530248,24.5,1,44.7,0,1,0.533565111
35,9.888530248,24.6,1,47.4,0,1,2.265921109
11,9.888530248,24.6,1,46.3,0,1,0.425267735
95,10.56066615,33.9,1,49.65,0,1,2.660609127
22,10.56066615,33.9,1,56.5,0,1,1.220829921
0,10.56066615,33.9,1,47.4,0,1,-0.056570351
10,10.56066615,33.9,1,42.4,0,1,1.833381144
15,10.56066615,33.9,1,65.5,0,1,0.169742775
0,10.56066615,34.8,1,42.9,0,1,0.053540767
17,10.56066615,33.9,1,47.7,0,1,1.033184483
41,10.56066615,26,1,44.7,0,1,1.091923301
39,11.28614641,26,1,32,1,0,2.111424588
0,11.28614641,28.1,1,28.4,1,0,-0.809680997
0,11.18149267,28.1,1,32.6,1,0,0.463734016
0,11.19316708,28.1,1,24.6,1,0,1.95586048
0,11.19980228,22.7,1,23.8,1,1,1.289232648
0,11.37864929,22.7,1,32,1,1,2.512846018
0,11.54369678,33.6,1,42,1,1,0.402126207
0,11.68834301,25,1,31.5,1,1,0.431782416
0,11.7499717,36.9,1,34.96666667,1,1,2.198335072
0,11.79741247,28,1,30.6,1,1,1.521698998
0,11.79741247,28,1,37,1,1,1.331045887
0,11.8735523,24,0,36,1,1,0.828551818
0,11.8735523,26,0,23.8,1,0,0.135404637
0,11.8735523,39.2,0,26.4,1,0,0.364643114
0,11.8735523,32.4,0,87.5,1,0,0.497740384
0,11.83415747,29.8,0,123.3,1,0,1.41706602
0,11.83415747,29,0,94.9,0,0,-0.703197516
0,11.83415747,27.8,0,23.6,1,0,-0.597837001
0,11.83415747,44,0,25.46666667,1,0,1.709283247
0,11.83415747,42.9,0,88,0,0,0.044016885
0,11.83415747,42.9,0,64,0,0,-0.363843433
0,11.44531907,30,0,30.4,1,0,0.368109322
0,11.46916778,41.4,0,24.36666667,1,0,2.524928324
57,10.179795,41.4,1,50.9,0,1,2.698336509
57,10.179795,41.4,1,50.9,0,1,2.698336509
