Variable,Mean (train/final),Std (train/final)
ACCESS,1.8318181818181818,0.4088635731972258
ADTLANE,7623.040909090909,5802.51593105479
CURVES,2.8454545454545452,3.0141676482190314
DOUBLE,7.696954545454546,4.616592338090477
FRICTION,49.55181818181819,4.630103706244442
GRADEBR,3.959090909090909,4.0612536231729655
LENGTH,2.5365909090909087,2.6893733159687274
MEDWIDTH,3.7,1.4177446878757824
MXGRADE,-0.2498636363636364,3.048670571598747
MXGRDIFF,3.099318181818181,1.991171420554508
PEAKHR,10.568818181818182,8.008957057492587
SINGLE,4.160090909090909,1.157165420291047
SLOPE,0.5318181818181819,0.8112203846037735
SPEED,59.68181818181818,5.591278627846664
TRAIN,2.1744090909090907,1.5684839570597207
WIDTH,58.304545454545455,16.13896969992839
